meetobject.namespace	Meetobject.lokaalID	Meetobject.omschrijving	GeometriePunt.X	GeometriePunt.Y	ResultaatDatum	Begindatum	Begintijd	Einddatum	Eindtijd	WNS.nummer	Typering.code	Grootheid.code	Parameter.code	Parameter.groep	Biotaxon.naam	Eenheid.code	Hoedanigheid.code	AnalyseCompartiment.code	Levensstadium.code	Lengteklasse.code	Geslacht.code	Verschijningsvorm.code	Levensvorm.code	Gedrag.code	Wardebewerkingsmethde.code	Waardebepalingsmethode.code	Limietsymbool	Numeriekewaarde	Alfanumeriekewaarde	Kwaliteitsoordeel.code
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										171		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.3		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										171		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3838		T		Grootheid		oC	INSU	OW										5.4		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										64		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										8		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										50		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										3600		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										40		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS1147		CONCTTE	Hg	ChemischeStof		ug/l	NVT	OW									<	0.01		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS1415		CONCTTE	Ni	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS1471		CONCTTE	Pb	ChemischeStof		ug/l	NVT	OW									<	5		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS1745		CONCTTE	sNO3NO2	ChemischeStof		mg/l	N	OW										0.72		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2209		CONCTTE	Zn	ChemischeStof		ug/l	NVT	OW										6		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										335		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2323		CONCTTE	NKj	ChemischeStof		mg/l	N	OW										1.02		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2336		CONCTTE	NH4	ChemischeStof		mg/l	N	OW										0.19		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2341		CONCTTE	NO2	ChemischeStof		mg/l	N	OW									<	0.02		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2343		CONCTTE	NO3	ChemischeStof		mg/l	N	OW										0.7		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2354		CONCTTE	Ptot	ChemischeStof		mg/l	P	OW										0.09		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2363		CONCTTE	PO4	ChemischeStof		mg/l	P	OW										0.03		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS2440		CONCTTE	OS	Object		mg/l	NVT	OW										6		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										180		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.9		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										180		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3838		T		Grootheid		oC	INSU	OW										7.5		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										96		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										11.4		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										130		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS476		CONCTTE	As	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										280		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS6064		VOLMFTE	GR	Object		%	NVT	OW										100		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS649		CONCTTE	Cd	ChemischeStof		ug/l	NVT	OW									<	0.1		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										110		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS718		CONCTTE	Cr	ChemischeStof		ug/l	NVT	OW									<	1		0
NL37	26AZ-052-01	"HOGE VAART, gemaal De Blocq van Kuffeler"	143949	492166	12/01/2004	12/01/2004	11:35:00			WNS742		CONCTTE	Cu	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS1147		CONCTTE	Hg	ChemischeStof		ug/l	NVT	OW									<	0.01		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS1415		CONCTTE	Ni	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS1471		CONCTTE	Pb	ChemischeStof		ug/l	NVT	OW									<	5		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS1745		CONCTTE	sNO3NO2	ChemischeStof		mg/l	N	OW										9.1		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2209		CONCTTE	Zn	ChemischeStof		ug/l	NVT	OW										9		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										410		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2323		CONCTTE	NKj	ChemischeStof		mg/l	N	OW										3.05		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2336		CONCTTE	NH4	ChemischeStof		mg/l	N	OW										1.4		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2341		CONCTTE	NO2	ChemischeStof		mg/l	N	OW										0.12		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2343		CONCTTE	NO3	ChemischeStof		mg/l	N	OW										9		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2354		CONCTTE	Ptot	ChemischeStof		mg/l	P	OW										0.22		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2363		CONCTTE	PO4	ChemischeStof		mg/l	P	OW										0.07		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS2440		CONCTTE	OS	Object		mg/l	NVT	OW										11		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										349		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.4		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										349		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3838		T		Grootheid		oC	INSU	OW										8.3		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										76		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										8.7		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										90		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS476		CONCTTE	As	ChemischeStof		ug/l	NVT	OW										1		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										710		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS6064		VOLMFTE	GR	Object		%	NVT	OW										96		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS649		CONCTTE	Cd	ChemischeStof		ug/l	NVT	OW									<	0.1		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										30		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS718		CONCTTE	Cr	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26AZ-053-01	"LAGE VAART, gemaal De Blocq van Kuffeler"	143975	492179	12/01/2004	12/01/2004	11:45:00			WNS742		CONCTTE	Cu	ChemischeStof		ug/l	NVT	OW										2		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS1147		CONCTTE	Hg	ChemischeStof		ug/l	NVT	OW										0.01		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS1415		CONCTTE	Ni	ChemischeStof		ug/l	NVT	OW										2		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS1471		CONCTTE	Pb	ChemischeStof		ug/l	NVT	OW									<	5		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS1745		CONCTTE	sNO3NO2	ChemischeStof		mg/l	N	OW										4.8		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2209		CONCTTE	Zn	ChemischeStof		ug/l	NVT	OW										10		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										110		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2323		CONCTTE	NKj	ChemischeStof		mg/l	N	OW										1.83		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2336		CONCTTE	NH4	ChemischeStof		mg/l	N	OW										0.78		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2341		CONCTTE	NO2	ChemischeStof		mg/l	N	OW										0.04		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2343		CONCTTE	NO3	ChemischeStof		mg/l	N	OW										4.8		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2354		CONCTTE	Ptot	ChemischeStof		mg/l	P	OW										0.1		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2363		CONCTTE	PO4	ChemischeStof		mg/l	P	OW										0.02		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS2440		CONCTTE	OS	Object		mg/l	NVT	OW										12		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										92		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.6		0
NL37	21BN-044-01	"KADOELERMEER, bij Kadoelerkeersluis"	195191	519136	12/01/2004	12/01/2004	11:50:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										92		0
