Timestamp	Object Id	Object Name	GPS	Water Flow (L)	Mest Flow (L)	Geleidbaarheid (uS)	GPS Stats	Battery Power (V)
26/01/2016 16:02	29	Green Duo	"{""lat"":52.209244,""lng"":6.820611,""satellites"":7,""date"":""260116"",""time"":""150304""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:02	29	Green Duo	"{""lat"":52.209312,""lng"":6.821385,""satellites"":7,""date"":""260116"",""time"":""150309""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:02	29	Green Duo	"{""lat"":52.209465,""lng"":6.822162,""satellites"":7,""date"":""260116"",""time"":""150314""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:02	29	Green Duo	"{""lat"":52.209629,""lng"":6.822973,""satellites"":7,""date"":""260116"",""time"":""150319""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:02	29	Green Duo	"{""lat"":52.209801,""lng"":6.823795,""satellites"":7,""date"":""260116"",""time"":""150324""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:02	29	Green Duo	"{""lat"":52.210045,""lng"":6.824502,""satellites"":7,""date"":""260116"",""time"":""150329""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:02	29	Green Duo	"{""lat"":52.210384,""lng"":6.825081,""satellites"":7,""date"":""260116"",""time"":""150334""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.210705,""lng"":6.825670,""satellites"":7,""date"":""260116"",""time"":""150338""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.211033,""lng"":6.826280,""satellites"":7,""date"":""260116"",""time"":""150343""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.211380,""lng"":6.826931,""satellites"":7,""date"":""260116"",""time"":""150348""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.211784,""lng"":6.827385,""satellites"":7,""date"":""260116"",""time"":""150353""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.212265,""lng"":6.827433,""satellites"":7,""date"":""260116"",""time"":""150358""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.212757,""lng"":6.827429,""satellites"":7,""date"":""260116"",""time"":""150403""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.213291,""lng"":6.827434,""satellites"":7,""date"":""260116"",""time"":""150408""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.213898,""lng"":6.827436,""satellites"":7,""date"":""260116"",""time"":""150413""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.214390,""lng"":6.827437,""satellites"":7,""date"":""260116"",""time"":""150418""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.214512,""lng"":6.827782,""satellites"":7,""date"":""260116"",""time"":""150423""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.214462,""lng"":6.828421,""satellites"":7,""date"":""260116"",""time"":""150428""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:03	29	Green Duo	"{""lat"":52.214432,""lng"":6.829078,""satellites"":6,""date"":""260116"",""time"":""150433""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.214401,""lng"":6.829706,""satellites"":7,""date"":""260116"",""time"":""150438""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.214371,""lng"":6.830228,""satellites"":7,""date"":""260116"",""time"":""150443""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.214603,""lng"":6.830475,""satellites"":7,""date"":""260116"",""time"":""150448""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.214935,""lng"":6.830519,""satellites"":7,""date"":""260116"",""time"":""150453""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215237,""lng"":6.830420,""satellites"":6,""date"":""260116"",""time"":""150458""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215508,""lng"":6.830120,""satellites"":7,""date"":""260116"",""time"":""150503""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215492,""lng"":6.829748,""satellites"":7,""date"":""260116"",""time"":""150508""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215420,""lng"":6.829401,""satellites"":7,""date"":""260116"",""time"":""150513""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215446,""lng"":6.828743,""satellites"":7,""date"":""260116"",""time"":""150518""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215450,""lng"":6.828093,""satellites"":7,""date"":""260116"",""time"":""150523""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215454,""lng"":6.827615,""satellites"":7,""date"":""260116"",""time"":""150528""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:04	29	Green Duo	"{""lat"":52.215584,""lng"":6.827472,""satellites"":7,""date"":""260116"",""time"":""150533""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.216000,""lng"":6.827469,""satellites"":7,""date"":""260116"",""time"":""150538""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.216496,""lng"":6.827461,""satellites"":7,""date"":""260116"",""time"":""150543""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.216934,""lng"":6.827474,""satellites"":7,""date"":""260116"",""time"":""150548""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.217117,""lng"":6.827284,""satellites"":7,""date"":""260116"",""time"":""150553""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.217083,""lng"":6.826588,""satellites"":7,""date"":""260116"",""time"":""150558""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.217033,""lng"":6.825843,""satellites"":7,""date"":""260116"",""time"":""150603""}"	"-0,026042"	"-0,023898"	0		
26/01/2016 16:05	29	Green Duo	"{""lat"":52.216988,""lng"":6.825166,""satellites"":7,""date"":""260116"",""time"":""150608""}"	"-0,026042"	"-0,023898"	0		
