voor_huis;MAP;
Latitude;Longitude;Datum;Tijd;IRMI;IBI;Amount;Sprayer;Section;Amount_2;Sprayer_2;Section_2;
51.315731;5.175540;06.08.2015;09:47:23;19.3;1.91;0;0;0;100;0;0;
51.315746;5.175600;06.08.2015;09:47:23;11.7;1.85;0;0;0;100;0;0;
51.315673;5.175311;06.08.2015;09:47:23;17.0;1.28;0;0;0;100;0;0;
51.315691;5.175381;06.08.2015;09:47:23;17.0;1.41;0;100;48;100;0;0;
51.315720;5.175466;06.08.2015;09:47:24;13.9;1.08;0;100;192;100;0;0;
51.315737;5.175536;06.08.2015;09:47:24;19.1;1.89;0;100;768;100;0;0;
51.315752;5.175596;06.08.2015;09:47:24;14.5;1.96;0;100;3072;100;0;0;
51.315682;5.175306;06.08.2015;09:47:24;19.5;1.56;0;100;4;100;0;0;
51.315699;5.175376;06.08.2015;09:47:24;19.1;1.71;0;100;48;100;0;0;
51.315731;5.175460;06.08.2015;09:47:25;16.1;1.27;0;0;0;100;0;0;
51.315747;5.175530;06.08.2015;09:47:25;19.4;1.97;0;100;768;100;0;0;
51.315762;5.175591;06.08.2015;09:47:25;17.7;2.25;0;100;3072;100;0;0;
51.315693;5.175299;06.08.2015;09:47:25;22.0;2.04;0;100;12;100;0;0;
51.315709;5.175369;06.08.2015;09:47:25;20.6;2.12;0;100;48;100;0;0;
51.315740;5.175454;06.08.2015;09:47:26;19.1;1.72;0;0;0;100;0;0;
51.315756;5.175525;06.08.2015;09:47:26;20.3;2.14;0;0;0;100;0;0;
51.315771;5.175585;06.08.2015;09:47:26;20.9;2.67;0;0;0;100;0;0;
51.315702;5.175293;06.08.2015;09:47:26;22.7;2.44;0;100;8;100;0;0;
51.315719;5.175363;06.08.2015;09:47:26;21.6;2.39;0;0;0;100;0;0;
51.315745;5.175451;06.08.2015;09:47:27;21.6;2.11;0;0;0;100;0;0;
51.315761;5.175522;06.08.2015;09:47:27;20.7;2.25;0;0;0;100;0;0;
51.315776;5.175582;06.08.2015;09:47:27;21.2;3.00;0;0;0;100;0;0;
51.315706;5.175290;06.08.2015;09:47:27;22.6;2.65;0;0;0;100;0;0;
51.315723;5.175361;06.08.2015;09:47:27;21.6;2.54;0;0;0;100;0;0;
51.315745;5.175451;06.08.2015;09:47:28;22.6;2.36;0;0;0;100;0;0;
51.315762;5.175521;06.08.2015;09:47:28;20.5;2.23;0;0;0;100;0;0;
51.315706;5.175290;06.08.2015;09:47:28;22.6;2.65;0;0;0;100;0;0;
51.315776;5.175582;06.08.2015;09:47:28;21.1;3.15;0;0;0;100;0;0;
51.315723;5.175361;06.08.2015;09:47:28;21.5;2.53;0;0;0;100;0;0;
51.315741;5.175454;06.08.2015;09:47:29;22.5;2.35;0;0;0;100;0;0;
51.315758;5.175524;06.08.2015;09:47:29;20.7;2.23;0;0;0;100;0;0;
51.315702;5.175293;06.08.2015;09:47:29;22.5;2.65;0;0;0;100;0;0;
51.315772;5.175584;06.08.2015;09:47:29;20.8;3.15;0;0;0;100;0;0;
51.315719;5.175363;06.08.2015;09:47:29;21.7;2.54;0;0;0;100;0;0;
51.315735;5.175457;06.08.2015;09:47:30;22.7;2.37;0;0;0;100;0;0;
51.315752;5.175527;06.08.2015;09:47:30;21.0;2.25;0;0;0;100;0;0;
51.315696;5.175297;06.08.2015;09:47:30;22.6;2.65;0;0;0;100;0;0;
51.315766;5.175588;06.08.2015;09:47:30;21.3;3.15;0;0;0;100;0;0;
51.315713;5.175367;06.08.2015;09:47:30;22.0;2.55;0;0;0;100;0;0;
51.315730;5.175460;06.08.2015;09:47:31;22.8;2.37;0;0;0;100;0;0;
51.315747;5.175531;06.08.2015;09:47:31;21.4;2.27;0;0;0;100;0;0;
51.315691;5.175300;06.08.2015;09:47:31;23.2;2.69;0;0;0;100;0;0;
51.315761;5.175591;06.08.2015;09:47:31;21.5;3.15;0;0;0;100;0;0;
51.315708;5.175370;06.08.2015;09:47:31;22.3;2.58;0;0;0;100;0;0;
